wallet,total_txns,unique_actions,total_amount,total_deposit,total_borrow,total_repay,total_redeem,total_liquidations,days_active,repay_ratio,deposit_redeem_ratio
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,523,4,6.586858275366415e+18,2.0523579688830935e+18,3.7556284400034156e+18,4.338433215427062e+17,3.450285449372011e+17,0,104,0.11551816918883265,5.948371515918037
0x003325d3054cd7668fb16f19ea11bae6d02a474c,5,1,2005930.544632,0.0,0.0,0.0,2005930.544632,0,7,0.0,0.0
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,162,4,1.7567747675031726e+20,5.283732265103469e+19,3.49646e+19,3.5002998465161114e+19,5.287255563412144e+19,0,25,1.0010982097653374,0.999333624360234
0x0034d2a08772822866b08d2c585e5c8e25723760,1,1,476000000000000.0,476000000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,5,1,65486886280318.516,0.0,0.0,0.0,65486886280318.516,0,31,0.0,0.0
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,26,4,1737613320930925.5,1404389958549610.0,333223362378678.06,913.894665,1723.511961,0,21,2.7425888103290964e-12,814842014635.4935
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1,1,10000000000000.0,10000000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x0036534c48a754163f0f446601f36bcfda840f57,27,4,1217984521402146.8,676473308845518.5,165000000001250.0,150042002092508.9,226469210462869.66,0,13,0.9093454672204377,2.9870431722833617
0x00368bb9dba2ee83f3553feae59710b9c3743e09,11,3,1100961657610451.9,600961657610252.1,500000000000000.0,0.0,199.852176,0,38,0.0,3007030844689.1875
0x0036a2f1f6136bb9d7992f7def692126a279e702,1,1,3992596985.89263,3992596985.89263,0.0,0.0,0.0,0,1,0.0,0.0
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,43,4,6107736932915811.0,1887527297712717.5,2020000000002401.0,1400214557616192.2,799995077584499.9,0,57,0.6931755235715484,2.359423639720266
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,12,4,3662821704040389.0,1403638713202011.2,427498621551380.56,431110950454495.8,1400573418832501.5,0,71,1.0084499194172982,1.0021885995609319
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1,1,1.843331,1.843331,0.0,0.0,0.0,0,1,0.0,0.0
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,9,2,99237.659169,49613.617891999995,0.0,0.0,49624.041277,0,50,0.0,0.9997899529193558
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,28,4,117457473836821.22,38637062209435.06,63044034298413.18,0.0,15776377328972.969,1,68,0.0,2.4490452658278494
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1,1,1.1,1.1,0.0,0.0,0.0,0,1,0.0,0.0
0x00389de87cae34a6f89e13cc8225c4984add8b37,610,4,2.76368471008302e+18,1.484552936699508e+18,1.2582207674541379e+18,1423714.851667,2.0911005927950748e+16,0,59,1.1315302437327593e-12,70.9938556669422
0x0039e71541bdc798d062346bce94230bf519bb72,2,2,37500000000.0,32500000000.0,5000000000.0,0.0,0.0,0,1,0.0,0.0
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,6,2,1.8960000000023996e+16,9960000000008994.0,0.0,0.0,9000000000014994.0,0,3,0.0,1.1066666666658223
